app_text_home,Home
app_text_home,Home
app_text_recent_product,Recent Product
app_text_category,Categories
app_text_login,Login
app_text_logout,Logout
app_text_login_signup,Login/Sign up
app_text_account,My Account
app_text_contact,Contact Us
app_text_about,About Us
app_text_wishlist,Add to Wishlist
app_text_cart,Add to Cart
app_text_off,off
app_text_all,All
app_text_languages,Language(s)
app_text_sort,Sort
app_text_filter,Filter
app_text_sort_order,Select Sort Order
app_text_price_asc,Price: Low to High
app_text_price_desc,Price: High to Low
app_text_product,Product
app_text_select,Select
app_text_instock,In Stock
app_text_outstock,Out of Stock
app_text_product_info,Product Info and Care
app_text_customization,Product Customization
app_text_accessories,Accessories
app_text_view_less,View Less
app_text_view_more,View More
app_text_provide_details,Please provide details
app_text_bag,Shopping Bag
app_text_apply_voucher,Apply Voucher
app_text_entry_voucher_code,Enter voucher code
app_text_apply,Apply
app_text_gift,Gift Wrap
app_text_entry_message,Enter your message
app_text_available_first,Send available products first
app_text_continue_shopping,Continue Shopping
app_text_continue_checkout,Continue To Checkout
app_text_update_quantity,Update Quantity
app_text_enter_quantity,Enter quantity (0-10)
app_text_empty_cart,Your shopping cart is empty!
app_text_goto_home,Go to Home Page
app_text_review_checkout,Review Your Order
app_text_add_new_shipping_address,Add New Shipping Address
app_text_history,Shipping Details
app_text_summary,Order Summary
app_text_shipping_methods,Shipping Methods
app_text_comment,Order Comment
app_text_payment_summary,Payment Summary
app_text_proceed,Proceed To Payment
app_text_make_payment,Make Payment
app_text_congratulations,Congratulations
app_text_shipping_addresses,Shipping Address(s)
app_text_order_detail,Order Detail
app_text_update_personal,Update Personal Details
app_text_update_password,Update Password
app_text_current_password,Current Password
app_text_new_password,New Password
app_text_confirm_password,Confirm Password
app_text_cancel,Cancel
app_text_save,Save
app_text_sale,Sale
app_text_new,New
app_text_order_ref,Order Reference
app_text_status,Status
app_text_placed,Placed On
app_text_reorder,Reorder
app_text_order_details,Order Details
app_text_status_history,Status History
app_text_shipping_address,Shipping Address
app_text_order_summary,Order Summary
app_text_shipping_method,Shipping Method
app_text_payment_method,Payment Method
app_text_gift_wrapping,Gift Wrapping
app_text_no_shipping_address,No shipping address available!
app_text_no_order_details,No order details available!
app_text_signup,Sign Up
app_text_continue_guest,Continue as Guest
app_text_email,Email
app_text_password,Password
app_text_forgot_password,Forgot Password?
app_text_login_social_account,You can login with social account.
app_text_login_with_google,Login with Google+
app_text_login_with_facebook,Login with Facebook
app_text_signup_with_google,Signup with Google+
app_text_signup_with_facebook,Signup with Facebook
app_text_msg_enter_valid_email,Please enter valid email!
app_text_msg_enter_email,Please enter email!
app_text_msg_enter_password,Please enter password!
app_text_msg_password_characters_less_than_3,Please enter password having characters more that or equal to 3!
app_text_msg_first_name,First Name
app_text_msg_last_name,Last Name
app_text_msg_dob,Date of Birth
app_text_msg_confirm_password,Confirm Password
app_text_msg_personal_details,Personal Details
app_text_msg_pass_not_matched,Password and confirm password do not matched!
app_text_sold_by,Sold By:
app_text_write_review,Write Review
app_text_view_review,View Review(s)
app_text_view_seller_products,View Seller Product(s)
app_text_wait,Please wait
app_text_loading,Loading data...
app_text_msg_went_wrong,Something went wrong. Please try again.
app_text_msg_no_internet_found,No internet connection found.
app_text_msg_no_internet_title,No Internet
app_text_msg_request,Request cannot be process. This might be because of slow internet connection.
app_text_msg_order_placed_email,Your order has been placed successfully. You will receive an email regarding the same.
app_text_msg_product_look,You can look for product(s) by their category.
app_text_msg_search_product,You can search any product in store by text or voice!
app_text_msg_view_cart,You can view shopping cart with quantity!
app_text_msg_logout,You are logout successfully!
app_text_msg_view_product,You can view product in list or grid mode!
app_text_msg_sort_product,You can sort product by their price!
app_text_msg_filter_product,You can filter product(s) as per your need!
app_text_text_next,Next
app_text_text_okay,Okay
app_text_required,Required
